,fic_iServiciosViviendaLuz,fic_iServiciosViviendaAgua,Postulaciones anteriores a la UNMSM,Edad,fic_iServiciosViviendaTelefono,Tipo de preparacion universitaria,Situacion Familiar,Ingreso mensual familiar,Pago mensual de colegio,Tipo de colegio de procedencia,ES INGRESANTE?
365,1,1,0,18,1,0,0,1,0,1,SI
366,1,1,3,18,1,3,4,0,0,1,SI
367,1,1,3,19,1,0,0,1,0,1,SI
368,1,1,1,17,1,0,0,1,3,0,SI
369,1,1,4,20,1,1,2,1,0,1,SI
370,1,1,1,18,0,0,0,3,3,0,SI
371,1,1,1,17,1,0,0,1,0,1,SI
372,1,1,3,20,1,4,4,1,3,0,SI
373,1,1,4,21,1,4,0,3,1,1,SI
374,1,1,0,17,0,0,4,2,3,0,SI
375,1,1,2,19,1,0,4,3,3,0,SI
376,1,1,4,22,1,1,0,0,3,0,SI
377,1,1,0,19,0,0,0,3,3,1,SI
378,0,0,2,18,0,0,0,3,3,1,NO
379,1,1,4,19,1,0,0,0,0,1,SI
380,1,1,2,19,1,1,0,1,3,0,SI
381,1,1,0,17,1,4,0,3,1,1,SI
382,1,1,2,19,1,0,1,3,1,1,SI
383,1,0,3,20,0,0,0,3,3,0,SI
384,1,1,4,22,0,1,3,2,0,1,SI
385,1,1,3,20,1,1,4,3,3,0,SI
386,1,1,1,18,1,1,0,3,0,1,SI
387,1,1,0,18,0,0,0,3,2,1,SI
388,1,1,2,20,1,1,1,0,0,1,SI
389,1,1,3,19,1,0,0,3,3,0,SI
390,1,1,2,20,1,0,0,0,3,0,SI
391,1,1,3,18,1,1,0,1,0,1,SI
392,1,1,2,19,0,0,0,0,0,1,SI
393,1,1,2,17,1,1,0,1,0,1,SI
394,1,1,3,19,0,1,0,3,0,1,SI
395,1,1,2,19,1,1,0,3,0,1,SI
396,1,1,4,19,1,1,4,2,3,0,SI
397,0,1,3,20,0,1,0,0,2,1,SI
398,1,1,2,22,1,1,3,0,3,0,SI
399,1,1,1,18,1,1,0,3,0,1,SI
400,1,1,1,18,1,1,0,3,0,1,SI
401,1,0,3,19,0,0,0,3,0,1,SI
402,1,1,2,23,0,0,0,3,3,0,SI
403,1,1,3,20,0,0,1,3,3,0,SI
404,1,1,4,20,1,0,4,2,3,0,SI
405,1,1,4,20,0,4,4,3,1,1,SI
406,1,0,1,18,0,0,0,3,3,0,SI
407,1,1,3,20,1,0,1,2,1,1,SI
408,1,1,0,16,1,0,0,0,0,1,NO
409,1,1,4,19,1,0,0,0,2,1,SI
410,1,1,2,17,0,0,0,3,0,1,SI
411,1,1,4,22,1,1,0,0,3,0,SI
412,1,1,2,19,1,0,0,3,0,1,SI
413,1,1,4,21,1,0,4,0,0,1,SI
414,1,1,4,19,1,0,0,0,0,1,SI
415,1,1,3,19,1,4,0,1,0,0,SI
416,1,1,4,20,1,1,4,2,0,1,SI
417,1,1,1,19,0,0,3,3,3,0,SI
418,1,1,2,17,1,0,0,3,0,1,SI
419,1,1,4,24,1,0,0,1,3,0,SI
420,1,1,1,20,0,0,0,2,3,0,SI
421,1,1,3,21,1,4,0,3,3,0,SI
422,0,0,0,16,0,4,0,3,3,1,NO
423,1,1,1,17,0,0,0,2,0,1,SI
424,0,0,0,16,0,2,0,3,3,1,NO
425,0,0,1,16,0,3,0,3,3,1,NO
426,1,1,2,18,1,0,0,0,3,0,SI
427,1,1,1,19,1,4,1,4,3,0,SI
428,0,0,0,16,0,0,0,3,3,1,NO
429,1,1,1,19,0,0,4,3,3,0,SI
430,1,1,0,17,1,3,0,1,3,1,SI
431,1,1,3,20,0,0,0,2,0,1,SI
432,0,0,0,17,0,3,0,3,3,1,NO
433,1,1,2,19,1,0,4,3,0,1,SI
434,0,0,0,17,0,4,0,3,3,1,NO
435,0,0,0,16,0,2,0,3,3,1,NO
436,1,1,0,17,1,3,0,1,1,1,NO
437,0,0,0,17,0,2,0,3,3,1,NO
438,1,1,4,20,1,1,4,0,0,1,SI
439,1,1,1,20,1,4,0,3,0,1,SI
440,0,0,0,16,0,4,0,3,3,1,NO
441,1,1,3,22,0,0,0,0,3,0,SI
442,1,1,2,19,0,2,0,3,0,0,SI
443,1,1,1,19,1,0,0,1,1,1,SI
444,0,0,0,15,0,4,0,3,3,1,NO
445,0,0,0,13,0,2,0,3,3,1,NO
446,1,1,0,17,1,1,0,1,1,1,SI
447,1,1,4,18,0,4,4,3,0,1,SI
448,1,1,1,20,1,0,0,1,0,1,SI
449,1,1,0,17,1,0,4,1,3,0,SI
450,1,1,2,18,1,0,0,1,0,1,SI
451,1,1,0,17,1,0,0,1,0,1,SI
452,1,1,0,20,0,4,4,3,0,1,SI
453,1,1,1,18,1,0,0,0,2,1,SI
454,1,1,2,18,0,0,0,3,3,0,SI
455,0,0,0,15,0,2,0,3,3,1,NO
456,1,1,0,19,1,0,4,3,3,0,SI
457,0,0,0,15,0,0,0,3,3,1,NO
458,1,1,2,19,1,0,0,0,0,1,SI
459,0,0,0,17,0,4,0,3,3,1,NO
460,0,0,0,17,0,0,0,3,3,1,NO
461,1,1,0,16,0,2,0,0,0,1,SI
462,1,1,2,20,0,0,0,3,3,0,SI
463,1,1,0,16,1,4,0,1,2,1,SI
464,0,0,0,16,0,2,0,3,3,0,NO
465,1,1,2,17,1,0,4,0,0,1,SI
466,1,1,4,20,1,4,0,3,3,0,SI
467,0,0,0,17,0,0,0,3,3,1,NO
468,1,1,2,24,1,0,0,3,3,0,SI
469,1,1,2,17,1,1,0,1,2,1,SI
470,1,1,0,19,1,2,4,0,3,0,SI
471,0,0,0,17,0,2,0,3,3,1,NO
472,1,1,4,20,1,0,0,0,0,1,SI
473,1,1,4,18,1,0,0,0,3,0,SI
474,1,1,1,19,1,0,1,3,1,1,SI
475,1,1,1,17,1,1,0,1,0,1,SI
476,1,1,2,22,0,1,4,2,3,0,SI
477,1,1,3,21,1,1,0,1,0,1,SI
478,1,1,4,20,1,1,0,0,0,0,SI
479,1,1,1,18,1,1,0,1,3,0,SI
480,1,1,4,18,1,1,1,1,0,0,SI
481,1,1,4,20,1,1,0,0,0,1,SI
482,1,1,1,24,1,1,0,1,3,0,SI
483,1,1,2,18,1,1,0,3,0,1,SI
484,1,1,0,35,1,1,0,2,3,0,SI
485,1,1,4,19,1,1,0,1,1,1,SI
486,1,1,1,21,1,1,0,3,3,0,SI
487,1,1,1,20,1,1,4,2,3,1,SI
488,1,1,2,21,1,1,0,4,3,0,SI
489,1,1,4,20,0,1,0,3,3,0,SI
490,1,1,3,20,1,1,0,3,1,1,SI
491,0,0,0,16,0,2,0,3,3,1,NO
492,1,1,4,21,1,0,4,1,0,1,SI
493,1,1,2,22,1,4,0,3,0,1,SI
494,0,0,1,16,0,4,0,3,3,1,NO
495,0,0,0,16,0,2,0,3,3,1,NO
496,0,0,0,14,0,2,0,3,3,1,NO
497,1,1,1,19,1,1,4,1,2,1,SI
498,1,1,4,19,1,4,0,0,0,1,SI
499,1,1,4,22,0,4,4,3,3,0,SI
500,1,1,2,20,1,0,0,1,3,0,SI
501,1,1,3,19,1,0,4,0,1,1,SI
502,1,1,0,17,1,3,0,1,2,1,SI
503,1,1,3,24,1,4,0,1,0,1,SI
504,1,1,0,16,0,3,0,3,0,1,SI
505,1,1,2,20,1,0,4,2,3,0,SI
506,1,1,2,19,1,0,0,0,3,0,SI
507,1,1,3,19,0,1,0,1,3,0,SI
508,0,0,0,17,0,0,0,3,3,1,NO
509,1,1,3,19,1,4,0,2,0,1,SI
510,1,1,1,19,0,4,4,2,3,0,SI
511,0,0,0,14,0,0,0,3,3,0,NO
512,0,0,0,17,0,4,0,3,3,1,NO
513,0,0,3,17,0,0,0,3,3,0,NO
514,0,0,0,17,0,2,0,3,3,1,NO
515,0,0,0,15,0,0,0,3,3,1,NO
516,0,0,0,16,0,4,0,3,3,1,NO
517,1,1,2,18,0,0,0,1,0,1,SI
518,1,1,0,17,0,3,0,3,0,1,SI
519,1,1,1,20,0,4,3,4,3,0,SI
520,1,1,1,18,1,0,0,0,3,0,SI
521,1,1,0,17,0,3,0,0,0,1,SI
522,1,0,1,22,0,3,1,0,0,1,SI
523,0,0,0,16,0,2,0,3,3,1,NO
524,1,1,1,24,1,0,0,3,3,0,SI
525,1,1,2,19,1,0,0,0,3,0,SI
526,1,1,0,17,1,3,4,1,2,1,NO
527,1,1,0,17,1,0,0,1,0,1,NO
528,1,1,3,20,1,0,0,1,1,1,SI
529,0,0,0,15,0,4,0,3,3,1,NO
530,0,0,0,17,0,2,0,3,3,1,NO
531,1,1,2,19,0,0,0,3,3,0,SI
532,1,1,0,25,0,4,0,1,3,0,SI
533,0,0,0,16,0,0,0,3,3,1,NO
534,1,1,2,19,1,1,4,0,1,1,SI
535,1,1,3,25,0,0,0,3,3,0,SI
536,1,1,3,23,0,0,0,3,3,0,SI
